Alpha,q,delta_e,Output1,Output2,Output3
0.103273387,0.299964336,-0.114880829,0.30954346,0.5633275,-0.52395594
0.112582412,0.296374385,-0.098274989,0.3376363,0.5857759,-0.54664534
0.12122069,0.291947795,-0.080810254,0.36522132,0.60706276,-0.5687688
0.129357427,0.288861622,-0.084317498,0.37551975,0.61891425,-0.574546
0.137137302,0.287103368,-0.124472122,0.35636365,0.61480904,-0.5519026
0.144526208,0.285411078,-0.127979395,0.36557233,0.6258706,-0.5574415
0.151522684,0.28353872,-0.134134987,0.37202147,0.63501275,-0.5603391
0.158026486,0.280434192,-0.130627714,0.385183,0.6469619,-0.5695747
0.163915249,0.275725054,-0.107866282,0.41240823,0.66549766,-0.5923082
0.169192223,0.270471825,-0.093049895,0.43228495,0.67928725,-0.6078135
0.173964731,0.26593658,-0.097416064,0.4362237,0.6841641,-0.6080619
0.178257558,0.261474825,-0.115739754,0.42833543,0.68217653,-0.5968502
0.182075123,0.257212034,-0.102641188,0.44455168,0.6929986,-0.60969996
0.185596895,0.254520875,-0.123613197,0.43347752,0.6891833,-0.59633696
0.18885958,0.252376194,-0.147233553,0.41993636,0.68397474,-0.5808533
0.191823712,0.250070797,-0.141077932,0.42945156,0.6910389,-0.5881862
0.194410323,0.246611034,-0.145444131,0.42990285,0.6924218,-0.5862671
0.19644579,0.241199239,-0.112232481,0.45898867,0.7082895,-0.6120706
0.197943529,0.235255727,-0.09390882,0.47535455,0.71654755,-0.62531865
0.198983221,0.229715043,-0.097416064,0.47373146,0.71470666,-0.6211435
0.19962652,0.22475101,-0.103500113,0.4694752,0.71126896,-0.61474913
0.199958922,0.220697083,-0.111373556,0.46338305,0.70686,-0.60701984
0.199957525,0.216344007,-0.126261545,0.4511607,0.6987023,-0.5932519
0.199582505,0.211753424,-0.101782263,0.46945348,0.7067983,-0.6096639
0.198930306,0.207683553,-0.117529177,0.45550942,0.6972145,-0.59456164
0.197993976,0.203718211,-0.113162978,0.45702514,0.695857,-0.5948743
0.196736451,0.199148225,-0.117529177,0.4510412,0.68990993,-0.5876721
0.195108551,0.194071904,-0.09390882,0.46654442,0.6951968,-0.60163033
0.193186905,0.189351204,-0.100064412,0.45803678,0.6872262,-0.5921375
0.190981551,0.18476464,-0.099133915,0.4546836,0.681863,-0.5878969
0.188493721,0.180097507,-0.099133915,0.45012128,0.67555934,-0.58254147
0.185755998,0.175754269,-0.09219097,0.4506749,0.6719371,-0.5824614
0.182849297,0.172124447,-0.102641188,0.43725803,0.660775,-0.5689337
0.179781999,0.168716,-0.106148461,0.42909366,0.6524138,-0.56074107
0.176610169,0.16598946,-0.103500113,0.4256974,0.6467954,-0.55756307
0.17342174,0.164161549,-0.119246998,0.40780696,0.63355047,-0.54043347
0.170131866,0.161624513,-0.122754271,0.39936423,0.6251343,-0.53239375
0.166588525,0.157490812,-0.095698243,0.4145305,0.62884486,-0.5471372
0.162834368,0.153423414,-0.074726205,0.42454183,0.62957364,-0.55689996
0.158965025,0.150007293,-0.091260472,0.40474832,0.61414033,-0.53753704
0.155032469,0.147473488,-0.086035348,0.4021592,0.6083482,-0.5355291
0.151173651,0.146353984,-0.10879678,0.3776863,0.59114915,-0.5124399
0.147372783,0.145449032,-0.118388073,0.36375275,0.5798318,-0.49981707
0.14363308,0.144823854,-0.109655705,0.36444855,0.5766553,-0.5017228
0.140003691,0.144628445,-0.121036421,0.34945232,0.5651521,-0.48826134
